"","HHID","Year","Householdsize","FCS","Numberofdiffererentcropsproducedbythehousehold","Sexofhouseholdhead","Ageofthehouseholdhead","Educationlevelofthehouseholdhead","Totalcroppedarea","DDS","Numberofhouseholdproductionbynutritionalgroup","Foodexpenditure","Nonfoodexpenditure","Incomes","Region","Numberofdifferentnonagriculturalincomesources","Proportionoffoodconsumedinpreviousoneweekfromhouseholdsownproduction","Simpsonsindex","CaloriesbyHH","HeadAgricultureDecision","Agriculturalincomes","NonAgriculturalincomes","Propertyincomes","Investments","Transfers"
"57","1033000510","2012",13,70.5,7,"Female",37,13,0.1700000018,6,4,63.1054688943242,7.31550517627412,177.345580030888,"Central",0,0.6666666667,0.375,205965,"0",73.8939916795365,0,0,0,103.451588351351
"58","1033000511","2009",4,78,4,"Male",27,34,0,9,3,630.7,46.2,4176,"Central",0,0.25,NA,46629.84,"1",404.404981258357,0,3113.91835568935,0,0
"59","1033000511","2010",6,72,4,"Male",28,34,0.85,9,3,707.076834418908,86.3573137062116,6697.95750209153,"Central",0,0.2857142857,0.6111111111,33435,"1",631.882783216182,0,6066.07471887535,0,0
"60","1033000511","2012",7,54.5,5,"Male",29,34,0.5,7,3,66.5045925115829,56.4550096431659,369.469958397683,"Central",1,0.4166666667,0,62810,"1",118.230386687258,0,251.239571710424,0,0
"64","1041000207","2009",5,25.5,4,"Female",98,41,0.85,6,3,65,58.45,400,"Central",0,0.3,0.6666666667,22976.04,"0",0,0,0,337.004151048631,0
"65","1041000207","2010",6,87,5,"Female",99,0,0.94,9,3,141.541743440425,29.4878632167552,1811.39731188639,"Central",0,0,0.6666666667,87088,"1",210.627594405394,0,0,421.255188810788,1179.51452867021
"66","1041000207","2012",7,54.5,5,"Female",100,12,0.75,6,3,193.306682233668,67.6130023867759,480.310945916987,"Central",0,0.1666666667,0.64,51445,"0",169.956180862934,0,0,258.628970878378,51.7257941756756
"67","1043000402","2009",7,50.5,5,"Male",49,14,1.67,8,4,470.7,4.3,900,"Central",0,0.0714285714,0.78125,70963.08,"1",547.631745454025,0,0,0,210.627594405394
"68","1043000402","2010",7,58.5,5,"Male",50,16,1.42,8,4,342.564719540933,31.3413860475226,1895.64834964855,"Central",0,0.4444444444,0.48,61770.99995327,"1",210.627594405394,0,0,0,1685.02075524315
"69","1043000402","2012",8,53.5,7,"Male",51,16,1.6699999571,7,5,46.1098508080308,23.2027133873745,206.903176702702,"Central",0,0.6666666667,0.7901234568,133942,"1",96.0621891833975,0,0,0,110.840987519305
"70","1043000403","2009",10,90,9,"Male",31,23,5.5,9,6,775,1040.7,1880,"Central",0,0.2777777778,0.625,74653.74,"1",421.255188810788,0,0,0,1162.66432111778
"71","1043000403","2010",11,62,9,"Male",32,34,0,8,5,229.415575826355,177.26418345158,1011.01245314589,"Central",0,0.2307692308,NA,61118,"1",631.882783216182,0,379.129669929709,0,0
"72","1043000403","2012",11,72,5,"Female",30,17,0,11,4,889.240295871543,167.813255104227,701.992920955597,"Central",0,0.3636363636,NA,170151.5,"0",443.363950077219,0,258.628970878378,0,0
"73","1043000406","2009",3,30.5,2,"Female",89,NA,0,6,2,42.5,93,335,"Central",0,0.4,NA,38456,"1",21.0627594405394,0,0,0,261.178217062689
"74","1043000406","2010",4,34,4,"Female",90,NA,2.64,5,4,1.68502075524315,4.21255188810788,96.8886934264813,"Central",0,0.75,0.48,37290,"1",0,0,0,0,96.8886934264813
"75","1043000406","2012",6,44,5,"Female",91,NA,0,7,4,190.350922566486,4.50753349245173,184.734979198841,"Central",0,0.5,NA,94935,"1",147.787983359073,0,0,0,36.9469958397683
"76","1043000407","2009",5,78.5,5,"Male",32,32,5.02,10,3,500.65,155.4,5938,"Central",0,0.4705882353,0.5,73728.04,"1",385.869752950682,0,4448.45479384192,0,168.502075524315
"77","1043000407","2010",5,57,7,"Male",33,32,5.05,9,4,480.357291800942,40.9460043524086,2365.76914036139,"Central",2,0.3684210526,0.625,91987.5,"1",90.9911207831302,0,589.757264335103,0,1685.02075524315
